NO TAXES ON FD IN SINGAPORE,,,,
Financial Institutions,Interest Rate (per annum),Tenure,Minimum deposit,Link to Financial Institution’s websites
Bank of China,1.40%,3 months,S$500,Personal Time Deposit Promotion Rates (20260105) | Bank of China @ Singaporebankofchina.com
CIMB,1.30%,3/6 months,"S$10,000",Fixed Deposit Rates in Singapore | CIMB SGcimb.com.sg
Citibank,1.00%,3 months,"S$10,000",Multi-Currency Time Deposits in Singapore | Citibank Singaporecitibank.com.sg
DBS,1.00%,8/9/10/11/12/18/24/36/48/60 months,"S$1,000","Fixed Deposit Best Rate, Singapore Dollar FD Rate | DBS Singaporedbs.com.sg"
Hong Leong Finance,1.30%,3/5 months,"S$60,000",Earn Higher Online Fixed Deposit Rates of up to 1.25% p.a. | Hong Leong Financehlf.com.sg
HSBC,1.50%,3 months,"S$30,000",Time Deposit Account | Fixed Deposit Singapore – HSBC SGhsbc.com.sg
ICBC,1.40%,3 months,"S$200,000",欢迎光临中国工商银行新加坡网站singapore.icbc.com.cn
ICICI,0.95%,2/3/6/9/12/15 months,"S$5,000",FD Interest Rates | Fixed Deposit Rates – ICICI Bank Singaporeicicibank.com.sg
Maybank,1.30%,6 months,"S$20,000",Time Deposit Promotionsmaybank2u.com.sg
OCBC,1.15%,9/12 months,"S$20,000",OCBC Time Deposit | Fixed Deposit Singapore | FD Rates & Promotionocbc.com
RHB,1.45%,3/6 months,"S$20,000",Fixed Deposit Promotions | RHB Singaporerhbgroup.com.sg
Sing Finance,1.30%,3/6 months,"S$10,000",Fixed Deposits – Sing Investments & Finance Limitedsingfinance.com.sg
Singapura Finance,1.18%,3 Months,"S$20,000",Counter Fixed Deposit Promotion | Singapura Financesingapurafinance.com.sg
Standard Chartered,1.15%,6 months,"S$25,000",Boost your savings with Standard Chartered SGD Time Deposit (Fixed Deposit) – Standard Chartered Singaporesc.com
UOB,1.20%,6 months,"S$10,000",UOB Singapore Dollar Time Fixed Deposit Rates | UOB Singaporeuob.com.sg