Dividend Source / Scenario,Recipient Type,Tax Treatment in Singapore,Conditions / Explanatory Notes
Dividends from Singapore-resident companies,Individual (Resident / Non-resident),Not taxable,Singapore operates a one-tier corporate tax system. Corporate tax paid by the company is final; dividends distributed to shareholders are exempt from further taxation.
Dividends from Singapore-resident companies,Corporate shareholder,Not taxable,Applies regardless of residency status of the shareholder. No dividend withholding tax is imposed.
Foreign-sourced dividends,Individual (Resident),Generally not taxable,Foreign dividends received by individuals are exempt unless received through a partnership or linked to a trade or business carried on in Singapore.
Foreign-sourced dividends,Individual (Non-resident),Not taxable,Singapore does not tax foreign income of non-residents if not sourced from Singapore.
Foreign-sourced dividends,Corporate taxpayer,Potentially taxable,"Taxable unless exempt under specific provisions (e.g., foreign tax paid, headline tax rate condition, and subject-to-tax requirement)."
REIT distributions (Singapore-listed REITs),Individual (Resident),Generally not taxable,"Most REIT distributions are tax-exempt for individuals under tax transparency rules, unless received through a partnership or business activity."
REIT distributions,Individual (Non-resident),Partially taxable,"Certain components of REIT distributions may be subject to withholding tax, depending on income classification."
REIT distributions,Corporate investor,Depends on structure,Tax treatment depends on whether income qualifies under tax transparency or is deemed trading income.
Dividends from co-operative societies,Individual,Taxable,Treated as personal income and taxed at prevailing individual income tax rates.
Dividends received through a partnership,Individual / Corporate,Taxable,Income received via partnerships does not automatically qualify for dividend exemption.
Dividends received as part of a business or trading activity,Individual / Corporate,Taxable,Considered revenue income rather than passive investment income.
Dividend withholding tax (general dividends),Any recipient,Not applicable,Singapore does not levy withholding tax on standard dividends.
Dividend reporting requirement,Individual,Only taxable dividends reported,Exempt dividends do not need to be declared in the annual income tax return.